h1,h2,h3,h4,max_iter,learning_rate_init,s1,s2,s3,m1,m2,m3,m4,m5,m6,m7,m8,m9,y
14,2,2,1,3099,0.0006371263729297296,0,1,0,351,33,1.7857142857142858,0.09401709401709402,0.9696969696969697,0.0,2.0,1.0,0.0,0.912291303047643
14,3,2,1,1174,0.04058598097243393,0,0,1,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.0
14,5,0,0,132,0.007521350488670132,1,0,0,845,18,3.2676767676767677,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.9341047318707758
14,1,2,2,3560,0.042451744442531636,1,1,0,845,18,3.2676767676767677,0.021301775147928994,0.0,0.0,834.0,12.0,0.8888888888888888,0.06534653465346535
20,4,1,1,233,0.0009178693518081117,1,1,0,988,13,9.977777777777778,0.013157894736842105,0.7692307692307693,0.0,14.0,1.0,0.0,0.0
17,4,3,0,439,0.00849639419397811,1,0,0,215,5,5.142857142857143,0.023255813953488372,0.8,0.0,79.0,9.8,0.8,0.9660130718954247
13,2,1,1,7464,0.020031418381972487,1,0,0,184,9,19.444444444444443,0.04891304347826087,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.0
23,3,3,1,317,0.0002567121754528173,0,1,0,213,9,2.0428571428571427,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.4938015300191928
11,3,3,0,133,0.014315318293655259,0,1,0,213,9,2.0428571428571427,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.4938015300191928
16,2,1,0,7030,0.004095545025564788,1,1,0,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.0
17,3,1,1,3628,0.058218695922012516,0,0,1,351,33,1.7857142857142858,0.09401709401709402,0.9696969696969697,0.0,2.0,1.0,0.0,0.1565217391304348
11,2,1,1,175,0.045365674195567786,0,1,0,213,9,11.529411764705882,0.04225352112676056,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.1431491384432561
8,4,3,1,9682,0.03140045522775361,0,0,0,345,6,1.3793103448275863,0.017391304347826087,1.0,0.0,292.0,20.0,0.8333333333333334,0.7325163628104805
13,6,8,2,1249,0.09832994976536777,1,0,1,947,8,30.566666666666666,0.008447729672650475,1.0,0.0,1.0,0.5,0.5,0.09326884555711758
18,1,0,0,3029,0.0006421542628457903,1,1,0,184,9,19.444444444444443,0.04891304347826087,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.8266666666666667
15,4,0,0,5094,0.0664684683676831,1,0,0,267,44,3.8545454545454545,0.1647940074906367,0.0,0.0,77.0,41.0,1.0,0.8850323535863128
22,3,1,0,299,0.0005342895777115569,0,1,0,846,18,2.990566037735849,0.02127659574468085,0.0,0.0,834.0,12.0,0.8888888888888888,0.42142603945688084
13,3,4,4,997,0.0022647921724130104,1,0,0,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.0
8,2,3,0,324,0.08070643313690572,1,1,0,184,9,19.444444444444443,0.04891304347826087,1.0,0.0,10.760000000000002,0.022780000000000022,0.5555555555555556,0.8166666666666667
21,2,1,1,7719,0.004248064033030793,1,1,0,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.3101553890973334
13,2,0,0,179,0.022550597667899734,0,1,0,269,13,1.2605042016806722,0.048327137546468404,0.07692307692307693,0.0,438.0,1.0,0.5384615384615384,0.4677061677061678
13,2,1,1,329,0.0009267212896267873,0,0,1,472,10,15.857142857142858,0.0211864406779661,0.4,0.0,143986.0,0.938,1.0,0.12441672835606475
18,1,1,0,1056,0.00033035832245431596,0,0,1,305,3,2.8125,0.009836065573770493,0.0,0.0,53.0,11.0,0.6666666666666666,0.0
