x1,x2,x3,x4,y
2.0,1.0,1.0,2.0,0.0
2.0,1.0,3.0,2.0,1.0
3.0,1.0,4.0,1.0,2.0
2.0,4.0,2.0,2.0,2.0
1.0,1.0,3.0,4.0,2.0
1.0,1.0,3.0,2.0,1.0
3.0,1.0,3.0,2.0,1.0
3.0,4.0,2.0,4.0,2.0
2.0,2.0,1.0,1.0,0.0
1.0,2.0,1.0,1.0,0.0
2.0,2.0,3.0,4.0,2.0
1.0,1.0,2.0,1.0,0.0
2.0,1.0,2.0,2.0,1.0
2.0,4.0,1.0,4.0,2.0
1.0,1.0,3.0,3.0,0.0
3.0,2.0,1.0,2.0,1.0
1.0,2.0,1.0,1.0,0.0
3.0,1.0,3.0,2.0,0.0
1.0,2.0,2.0,1.0,1.0
3.0,2.0,1.0,3.0,0.0
2.0,1.0,2.0,1.0,0.0
3.0,2.0,1.0,3.0,0.0
2.0,3.0,2.0,1.0,0.0
3.0,2.0,2.0,1.0,1.0
3.0,2.0,1.0,3.0,1.0
2.0,1.0,2.0,2.0,1.0
1.0,1.0,3.0,2.0,0.0
1.0,4.0,1.0,1.0,2.0
2.0,2.0,1.0,3.0,0.0
1.0,2.0,1.0,3.0,1.0
1.0,1.0,1.0,2.0,0.0
2.0,4.0,3.0,1.0,2.0
3.0,1.0,2.0,2.0,1.0
3.0,2.0,2.0,1.0,1.0
1.0,2.0,1.0,2.0,1.0
2.0,2.0,2.0,1.0,1.0
2.0,2.0,1.0,2.0,1.0
3.0,2.0,1.0,3.0,1.0
3.0,2.0,1.0,1.0,0.0
3.0,1.0,2.0,1.0,0.0
1.0,2.0,1.0,3.0,1.0
2.0,1.0,1.0,2.0,0.0
1.0,1.0,1.0,2.0,0.0
1.0,2.0,2.0,3.0,1.0
3.0,3.0,3.0,1.0,0.0
3.0,2.0,1.0,2.0,1.0
3.0,2.0,1.0,2.0,1.0
3.0,1.0,2.0,1.0,0.0
1.0,1.0,1.0,2.0,0.0
2.0,1.0,3.0,2.0,0.0
2.0,2.0,2.0,1.0,1.0
2.0,1.0,2.0,1.0,0.0
2.0,2.0,1.0,3.0,0.0
2.0,1.0,2.0,2.0,1.0
1.0,2.0,4.0,2.0,2.0
2.0,2.0,1.0,2.0,1.0
1.0,1.0,2.0,4.0,2.0
1.0,3.0,2.0,1.0,0.0
2.0,4.0,4.0,2.0,2.0
2.0,3.0,2.0,1.0,0.0
3.0,1.0,2.0,2.0,1.0
1.0,1.0,2.0,2.0,1.0
1.0,3.0,2.0,4.0,2.0
1.0,1.0,2.0,2.0,1.0
3.0,1.0,4.0,2.0,2.0
2.0,1.0,3.0,2.0,1.0
1.0,1.0,3.0,2.0,1.0
3.0,1.0,3.0,2.0,0.0
1.0,2.0,4.0,4.0,2.0
1.0,4.0,2.0,1.0,2.0
2.0,1.0,2.0,1.0,0.0
3.0,4.0,1.0,2.0,2.0
2.0,2.0,4.0,3.0,2.0
3.0,1.0,2.0,2.0,1.0
1.0,1.0,3.0,2.0,0.0
1.0,2.0,1.0,3.0,0.0
3.0,3.0,3.0,2.0,1.0
2.0,2.0,1.0,3.0,1.0
3.0,3.0,2.0,1.0,1.0
1.0,1.0,1.0,3.0,0.0
2.0,2.0,2.0,1.0,1.0
2.0,3.0,2.0,3.0,1.0
1.0,3.0,2.0,1.0,1.0
2.0,2.0,1.0,2.0,1.0
1.0,1.0,1.0,2.0,0.0
3.0,2.0,2.0,1.0,1.0
3.0,2.0,1.0,1.0,0.0
1.0,1.0,2.0,1.0,0.0
3.0,1.0,4.0,4.0,2.0
3.0,3.0,2.0,1.0,1.0
2.0,3.0,2.0,1.0,1.0
2.0,1.0,3.0,1.0,0.0
1.0,2.0,1.0,2.0,1.0
