x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,6
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,5
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,2
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,0
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,0
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,3
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,6
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,1
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,0
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,0
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,6
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,1
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,5
